"gene","DESeq2_log2FC","DESeq2_padj","DESeq2_group","edgeR_log2FC","edgeR_FDR","edgeR_group"
"AT5G45275",-0.046405781,NA,"ns",-0.0483706483516593,0.96536404498089,"ns"
"AT5G45300",-0.080925639,NA,"ns",-0.0721930601858,0.925361029882065,"ns"
"AT5G45310",0.115928764,NA,"ns",0.241566765304977,0.817775912350439,"ns"
"AT5G45330",-0.404274641,NA,"ns",-0.381728018649144,0.599468535756694,"ns"
"AT5G45370",0.23918523,NA,"ns",0.120407534092557,0.906866018237683,"ns"
"AT5G45400",0.523270982,NA,"ns",0.451349658066812,0.590533014065179,"ns"
"AT5G45440",0.101187682,NA,"ns",0.138366686924428,0.917368191631641,"ns"
"AT5G45460",0.863368721,NA,"ns",0.790259758536888,0.365779264042538,"ns"
"AT5G45560",1.397419696,NA,"ns",0.923733859560368,0.638858819760894,"ns"
"AT5G45590",0.043380739,NA,"ns",0.0614291143013487,0.950629967262945,"ns"
"AT5G45600",-0.301158167,NA,"ns",-0.259386895474275,0.771616264129848,"ns"
"AT5G45610",-0.624571823,NA,"ns",-0.609177801329137,0.395414100394432,"ns"
"AT5G45650",-1.323746459,NA,"ns",-1.1236601014683,0.377933712920966,"ns"
"AT5G45660",0.426334073,NA,"ns",0.451562245881388,0.539767058346415,"ns"
"AT5G45700",1.322343008,NA,"ns",0.936585718058323,0.543798799437857,"ns"
"AT5G45720",-0.296063808,NA,"ns",-0.303565467051183,0.643582125789367,"ns"
